CGPA,Coding_Level,ML_Knowledge,Math_Score,Communication,Projects,Interest_AI,Interest_Web,Interest_Core,Research_Interest,Management_Interest,Higher_Ed_Interest,Career_Path,Final_Recommendation
5.77,3,2,5,2,2,2,4,1,1,3,3,Job,Software Engineer
8.75,5,1,3,1,4,2,2,4,5,4,2,Job,Software Engineer
6.91,5,2,1,5,1,2,5,1,5,1,3,Job,Web Developer
5.27,1,1,1,5,0,4,1,3,3,5,5,Higher Education,MBA
6.61,4,2,4,5,1,2,5,2,1,5,5,Higher Education,MBA
9.61,3,1,1,1,5,3,1,2,4,2,3,Job,Software Engineer
6.96,4,1,1,5,2,5,2,5,4,2,3,Job,AI Engineer
5.85,1,3,1,1,3,4,4,2,5,4,4,Higher Education,MTech
5.77,4,1,3,1,4,3,1,1,2,1,3,Job,Software Engineer
9.25,3,5,5,3,4,5,4,1,4,5,2,Job,Data Scientist
9.35,3,5,4,1,0,4,5,1,5,5,4,Higher Education,PhD / Research
6.12,3,4,1,5,3,1,2,2,2,1,1,Job,Software Engineer
5.91,3,3,1,1,2,2,1,2,3,1,5,Higher Education,MTech
7.6,3,2,1,5,0,1,5,5,1,2,2,Job,Software Engineer
5.05,4,5,1,5,0,5,4,1,5,5,4,Higher Education,MBA
5.87,4,5,4,4,1,5,2,5,3,4,4,Higher Education,MBA
5.87,1,1,3,4,2,5,4,2,5,2,2,Job,Management Role
6.13,2,1,2,5,5,1,3,3,5,5,1,Job,Management Role
6.37,4,5,1,2,4,4,1,3,5,2,3,Job,AI Engineer
6.96,4,3,4,5,2,5,5,3,5,3,5,Higher Education,PhD / Research
5.44,2,1,1,1,1,5,5,5,3,4,4,Higher Education,MTech
8.39,4,4,4,3,3,3,5,3,5,5,3,Job,Web Developer
6.76,4,1,5,2,2,1,5,3,5,4,3,Job,Web Developer
8.32,3,5,4,4,0,5,4,1,2,1,4,Higher Education,MS in AI / Data Science
5.81,3,5,4,2,2,3,3,1,5,2,2,Job,Software Engineer
7.6,2,5,2,2,4,4,5,5,2,5,2,Job,Software Engineer
8.18,3,1,4,4,5,2,1,2,5,1,3,Job,Software Engineer
9.59,3,4,1,1,2,1,3,2,3,2,3,Job,Software Engineer
5.17,5,1,4,1,4,3,4,2,2,4,5,Higher Education,MTech
8.41,2,5,5,4,2,1,5,4,5,3,4,Higher Education,PhD / Research
5.55,3,3,4,2,4,3,2,2,3,5,5,Higher Education,MTech
8.01,2,2,3,3,1,4,5,1,1,5,5,Higher Education,MTech
5.66,5,3,2,5,4,3,1,2,2,1,3,Job,Software Engineer
7.7,3,1,2,1,5,3,3,4,5,3,5,Higher Education,MTech
7.66,2,4,2,3,5,3,3,3,5,3,4,Higher Education,MTech
6.87,3,5,5,2,0,5,5,5,4,1,3,Job,Data Scientist
5.87,4,3,5,1,1,1,3,5,3,1,4,Higher Education,MTech
5.21,2,3,2,4,1,1,2,2,2,1,1,Job,Management Role
9.72,3,2,2,4,3,4,2,5,1,3,4,Higher Education,MTech
6.67,2,4,1,2,1,1,3,5,5,1,3,Job,Software Engineer
9.04,5,3,4,2,1,4,1,5,4,2,5,Higher Education,PhD / Research
9.03,5,1,3,4,3,5,5,5,2,3,5,Higher Education,MTech
9.34,2,1,5,3,0,1,5,4,2,3,5,Higher Education,MTech
8.56,1,5,2,4,4,3,4,5,2,5,3,Job,Management Role
5.31,5,2,3,5,0,5,4,5,5,4,4,Higher Education,MBA
5.55,4,4,5,5,4,2,1,4,4,5,3,Job,Software Engineer
8.79,5,4,4,3,0,4,5,1,5,1,2,Job,Data Scientist
5.71,3,1,3,4,3,5,4,2,4,3,3,Job,Software Engineer
